start,end
0,10
0,45
0,61
1,6
1,14
1,16
1,17
1,18
1,34
1,38
1,44
1,45
1,52
1,53
1,55
1,56
1,73
1,79
1,81
1,86
1,91
1,97
1,98
2,5
2,6
2,10
2,14
2,16
2,39
2,45
2,48
2,53
2,56
2,58
2,65
2,73
2,79
2,86
2,91
2,94
2,99
3,5
3,6
3,14
3,16
3,17
3,24
3,37
3,45
3,49
3,53
3,64
3,70
3,72
3,73
3,74
3,80
3,91
3,99
4,3
4,6
4,11
4,14
4,17
4,24
4,38
4,45
4,49
4,52
4,53
4,55
4,61
4,72
4,79
4,86
4,90
4,95
4,96
4,99
5,24
5,39
5,44
5,45
5,52
5,53
5,55
5,58
5,72
5,73
5,79
5,86
5,91
5,94
5,95
5,98
6,1
6,6
6,9
6,10
6,11
6,14
6,36
6,48
6,49
6,52
6,53
6,55
6,60
6,65
6,79
6,86
6,91
6,97
6,98
7,45
7,52
8,10
8,48
9,6
9,10
9,13
9,16
9,27
9,34
9,39
9,48
9,49
9,55
9,72
9,73
9,74
9,79
9,80
9,81
9,86
9,91
9,92
9,95
9,96
9,99
10,1
10,5
10,6
10,10
10,24
10,45
10,48
10,49
10,53
10,55
10,61
10,64
10,65
10,74
10,80
10,82
11,6
11,11
11,16
11,39
11,48
11,49
11,70
11,74
11,79
11,86
11,91
11,92
11,97
12,14
12,45
12,48
12,52
12,53
12,55
12,60
12,74
12,80
12,86
12,91
12,92
12,98
13,6
13,10
13,11
13,14
13,16
13,20
13,22
13,24
13,39
13,45
13,52
13,53
13,56
13,73
13,78
13,79
13,86
13,92
13,98
13,99
14,5
14,14
14,16
14,17
14,22
14,24
14,44
14,45
14,52
14,53
14,55
14,56
14,57
14,60
14,65
14,72
14,73
14,86
14,97
14,98
15,14
15,18
15,20
15,41
15,44
15,45
15,52
15,53
15,56
15,63
15,79
15,86
15,90
15,92
16,2
16,6
16,10
16,14
16,24
16,39
16,44
16,45
16,48
16,52
16,58
16,64
16,73
16,79
16,81
16,86
16,91
16,97
17,6
17,14
17,16
17,17
17,24
17,45
17,53
17,56
17,79
17,86
17,91
17,92
18,10
18,14
18,16
18,38
18,48
18,53
18,56
18,58
18,63
18,64
18,65
18,73
18,79
18,86
18,91
18,94
19,1
19,10
19,14
19,16
19,18
19,19
19,20
19,45
19,52
19,53
19,57
19,58
19,68
19,78
19,79
19,86
19,90
19,91
19,92
19,99
20,1
20,5
20,7
20,14
20,16
20,18
20,22
20,24
20,44
20,45
20,52
20,53
20,60
20,79
20,90
20,92
20,98
20,99
22,9
22,10
22,14
22,16
22,20
22,22
22,44
22,45
22,52
22,53
22,55
22,58
22,60
22,65
22,73
22,80
22,86
22,92
22,94
22,98
23,6
23,16
23,39
23,48
23,49
23,72
23,73
23,79
23,81
23,86
23,91
23,92
23,97
23,98
24,2
24,6
24,7
24,14
24,22
24,24
24,34
24,38
24,48
24,53
24,56
24,73
24,74
24,79
24,80
24,81
24,86
24,90
24,91
24,92
25,1
25,2
25,14
25,16
25,17
25,18
25,38
25,39
25,44
25,45
25,52
25,53
25,61
25,64
25,72
25,74
25,76
25,79
25,90
25,91
26,10
26,45
26,80
27,6
27,14
27,18
27,38
27,45
27,48
27,52
27,58
27,79
27,86
27,91
27,92
27,96
27,98
27,99
28,5
28,6
28,7
28,10
28,17
28,39
28,48
28,53
28,58
28,62
28,69
28,72
28,73
28,74
28,78
28,79
28,80
28,86
28,90
28,91
28,92
28,99
29,1
29,11
29,16
29,29
29,34
29,39
29,44
29,45
29,52
29,53
29,77
29,80
29,86
29,92
29,97
29,99
30,1
30,6
30,10
30,14
30,16
30,17
30,27
30,36
30,38
30,48
30,55
30,65
30,72
30,81
30,86
30,90
30,91
30,92
30,95
30,96
30,99
31,6
31,14
31,45
31,48
31,52
31,53
31,56
31,58
31,61
31,63
31,81
31,86
31,91
31,95
31,98
31,99
32,5
32,14
32,17
32,24
32,44
32,45
32,52
32,53
32,55
32,56
32,63
32,64
32,70
32,74
32,76
32,78
32,79
32,80
32,86
34,1
34,5
34,14
34,16
34,17
34,24
34,38
34,39
34,45
34,49
34,52
34,53
34,55
34,56
34,58
34,61
34,64
34,74
34,80
34,82
34,86
34,99
35,6
35,7
35,14
35,16
35,22
35,27
35,39
35,44
35,45
35,48
35,49
35,52
35,56
35,58
35,72
35,79
35,91
35,97
36,6
36,24
36,38
36,45
36,48
36,49
36,52
36,55
36,80
36,86
36,92
37,2
37,6
37,10
37,14
37,16
37,34
37,39
37,45
37,52
37,53
37,56
37,58
37,73
37,79
37,80
37,86
37,87
37,91
37,92
37,98
37,99
38,5
38,10
38,13
38,14
38,16
38,17
38,38
38,39
38,48
38,49
38,53
38,56
38,72
38,73
38,79
38,86
38,91
38,98
39,6
39,16
39,39
39,45
39,48
39,53
39,91
39,97
40,10
41,5
41,6
41,10
41,14
41,17
41,24
41,39
41,45
41,48
41,49
41,52
41,60
41,72
41,79
41,91
42,6
42,17
42,24
42,34
42,38
42,45
42,48
42,49
42,52
42,53
42,55
42,58
42,72
42,73
42,81
42,90
42,91
42,92
42,98
43,6
43,10
43,14
43,27
43,34
43,45
43,48
43,49
43,52
43,53
43,56
43,58
43,63
43,72
43,73
