start,end
0,1
0,2
0,3
0,6
0,9
0,10
0,11
0,14
0,15
0,18
0,20
0,21
0,22
0,24
0,28
0,33
0,35
0,38
0,40
0,41
0,42
0,43
0,44
0,45
0,49
0,51
0,52
0,53
0,56
0,57
0,59
1,2
1,3
1,5
1,6
1,10
1,11
1,15
1,18
1,20
1,21
1,24
1,25
1,28
1,29
1,32
1,33
1,35
1,36
1,38
1,41
1,42
1,44
1,49
1,51
1,52
1,53
1,56
1,57
1,59
2,5
2,32
3,3
3,5
3,6
3,10
3,11
3,18
3,20
3,21
3,22
3,24
3,25
3,27
3,28
3,32
3,33
3,35
3,36
3,37
3,38
3,40
3,41
3,42
3,43
3,44
3,45
3,51
3,53
3,56
3,57
4,5
4,24
4,25
4,32
4,43
4,56
5,2
5,3
5,5
5,6
5,10
5,11
5,15
5,18
5,20
5,21
5,22
5,24
5,25
5,28
5,31
5,32
5,33
5,35
5,36
5,37
5,38
5,41
5,42
5,43
5,44
5,45
5,49
5,51
5,52
5,53
5,56
5,57
5,59
6,2
6,3
6,5
6,6
6,10
6,11
6,14
6,15
6,18
6,20
6,21
6,22
6,24
6,25
6,28
6,32
6,35
6,36
6,37
6,38
6,40
6,41
6,42
6,43
6,44
6,49
6,52
6,53
6,57
7,2
7,3
7,5
7,6
7,10
7,11
7,14
7,15
7,18
7,21
7,24
7,28
7,29
7,32
7,33
7,35
7,36
7,38
7,41
7,42
7,43
7,44
7,49
7,51
7,53
7,56
7,57
7,59
8,3
8,9
8,11
8,15
8,17
8,20
8,21
8,22
8,23
8,24
8,27
8,28
8,31
8,33
8,35
8,36
8,37
8,39
8,40
8,44
8,48
8,51
8,52
8,56
8,57
8,59
9,3
9,6
9,9
9,11
9,15
9,17
9,19
9,21
9,22
9,23
9,24
9,28
9,31
9,33
9,36
9,37
9,38
9,39
9,40
9,41
9,44
9,45
9,48
9,51
9,52
9,56
9,57
9,59
10,2
10,3
10,5
10,6
10,10
10,11
10,14
10,15
10,18
10,21
10,22
10,24
10,25
10,28
10,32
10,33
10,35
10,37
10,38
10,40
10,41
10,43
10,44
10,45
10,51
10,52
10,53
10,56
10,57
10,59
11,2
11,11
11,15
11,17
11,19
11,20
11,21
11,22
11,23
11,24
11,27
11,28
11,33
11,35
11,36
11,37
11,40
11,41
11,44
11,45
11,48
11,51
11,52
11,56
11,57
11,59
12,2
12,3
12,5
12,6
12,10
12,11
12,15
12,17
12,18
12,20
12,21
12,22
12,24
12,25
12,28
12,31
12,32
12,33
12,36
12,37
12,38
12,40
12,41
12,42
12,44
12,45
12,49
12,51
12,52
12,53
12,56
12,57
12,59
13,2
13,3
13,6
13,10
13,11
13,14
13,15
13,18
13,20
13,21
13,22
13,23
13,24
13,25
13,28
13,31
13,33
13,35
13,36
13,37
13,38
13,41
13,42
13,48
13,52
13,53
13,56
13,57
13,59
14,2
14,3
14,6
14,10
14,11
14,14
14,15
14,18
14,20
14,21
14,24
14,25
14,28
14,33
14,35
14,36
14,37
14,38
14,39
14,41
14,42
14,43
14,44
14,45
14,49
14,51
14,52
14,53
14,56
14,57
14,59
15,9
15,11
15,15
15,17
15,19
15,20
15,21
15,22
15,23
15,24
15,28
15,31
15,33
15,35
15,36
15,39
15,40
15,41
15,42
15,44
15,48
15,51
15,56
15,57
16,2
16,3
16,6
16,11
16,14
16,15
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,28
16,31
16,33
16,35
16,36
16,38
16,41
16,43
16,44
16,48
16,51
16,52
16,56
16,57
16,58
16,59
17,9
17,11
17,15
17,17
17,19
17,20
17,21
17,22
17,23
17,31
17,33
17,35
17,36
17,37
17,40
17,41
17,42
17,44
17,48
17,51
17,52
17,56
17,57
17,59
18,2
18,5
18,6
18,10
18,11
18,15
18,18
18,20
18,21
18,22
18,24
18,25
18,32
18,33
18,35
18,36
18,37
18,38
18,40
18,41
18,42
18,43
18,44
18,51
18,52
18,53
18,56
18,57
18,59
19,8
19,9
19,11
19,15
19,19
19,20
19,21
19,22
19,23
19,28
19,31
19,33
19,39
19,40
19,41
19,48
19,51
19,52
19,56
19,57
19,58
19,59
20,2
20,3
20,6
20,10
20,11
20,14
20,17
20,18
20,19
20,20
20,21
20,22
20,24
20,25
20,27
20,28
20,31
20,33
20,35
20,36
20,38
20,39
20,41
20,42
20,43
20,44
20,45
20,48
20,51
20,52
20,53
20,56
20,57
20,59
21,11
21,15
21,17
21,19
21,20
21,21
21,22
21,23
21,24
21,31
21,33
21,35
21,36
21,37
21,39
21,40
21,41
21,42
21,44
21,48
21,51
21,52
21,56
21,57
22,9
22,11
22,15
22,19
22,20
22,21
22,22
22,23
22,28
22,31
22,33
22,35
22,37
22,39
22,41
22,44
22,48
22,51
22,52
22,56
22,59
23,9
23,11
23,15
23,17
23,19
23,20
23,21
23,22
23,23
23,24
23,28
23,31
23,33
23,36
23,39
23,41
23,44
23,48
23,51
23,52
23,56
23,57
23,59
24,2
24,3
24,5
24,6
24,10
24,11
24,14
24,18
24,20
24,21
24,22
24,24
24,25
24,28
24,32
24,33
24,35
24,36
24,37
24,38
24,40
24,41
24,42
24,43
24,44
24,45
24,51
24,52
24,53
24,56
24,57
24,59
25,2
25,6
25,10
25,14
25,15
25,17
25,20
25,21
25,24
25,25
25,28
25,31
25,35
25,36
25,37
25,38
25,40
25,41
25,42
25,43
25,44
25,51
25,52
25,53
25,56
25,57
25,59
26,3
26,5
26,6
26,20
26,24
26,28
26,32
26,42
26,43
26,53
27,2
27,3
27,5
27,6
27,10
27,11
27,14
27,15
27,18
27,20
27,21
27,22
27,24
27,25
27,27
27,28
27,32
27,33
27,35
27,36
27,37
27,38
27,41
27,42
27,44
27,45
27,51
27,52
27,53
27,56
27,59
28,24
28,36
31,9
31,11
31,15
31,19
31,20
31,21
31,22
31,23
31,24
31,28
31,31
31,33
31,35
31,36
31,40
31,41
31,43
31,44
31,48
31,51
31,52
31,56
31,57
31,59
32,5
32,32
33,3
33,9
33,11
33,15
33,17
33,18
33,20
33,21
33,22
33,25
33,28
33,31
33,33
33,35
33,37
33,39
33,40
33,41
33,44
33,48
33,51
33,52
33,53
33,56
33,57
34,1
34,2
34,3
34,5
34,6
34,10
34,11
34,14
34,18
34,20
34,21
34,22
34,24
34,27
34,28
34,29
34,32
34,33
34,35
34,37
34,38
34,42
34,45
34,49
34,52
34,53
34,56
34,57
34,59
35,8
35,11
35,14
35,15
35,19
35,20
35,21
35,22
35,23
35,31
35,33
35,35
35,36
35,37
35,40
35,41
35,44
35,48
35,51
35,52
35,56
35,59
36,2
36,3
36,5
36,6
36,10
36,11
36,15
36,18
36,19
36,20
36,21
36,22
36,24
36,25
36,28
36,32
36,33
36,35
36,36
36,37
36,38
36,41
36,42
36,43
36,44
36,45
36,48
36,51
36,52
36,53
36,56
36,57
36,59
37,3
37,9
37,11
37,19
37,20
37,21
37,22
37,28
37,31
37,33
37,35
37,37
37,39
37,41
37,44
37,45
37,48
37,51
